@relation A012VibTrain
@attribute f_0 numeric
@attribute f_1 numeric
@attribute f_2 numeric
@attribute f_3 numeric
@attribute f_4 numeric
@attribute f_5 numeric
@attribute f_6 numeric
@attribute f_7 numeric
@attribute f_8 numeric
@attribute f_9 numeric
@attribute f_10 numeric
@attribute f_11 numeric
@attribute f_12 numeric
@attribute f_13 numeric
@attribute f_14 numeric
@attribute f_15 numeric
@attribute f_16 numeric
@attribute f_17 numeric
@attribute f_18 numeric
@attribute f_19 numeric
@attribute f_20 numeric
@attribute f_21 numeric
@attribute f_22 numeric
@attribute f_23 numeric
@attribute f_24 numeric
@attribute f_25 numeric
@attribute f_26 numeric
@attribute f_27 numeric
@attribute f_28 numeric
@attribute f_29 numeric
@attribute f_30 numeric
@attribute f_31 numeric
@attribute f_32 numeric
@attribute f_33 numeric
@attribute f_34 numeric
@attribute f_35 numeric
@attribute f_36 numeric
@attribute f_37 numeric
@attribute f_38 numeric
@attribute f_39 numeric
@attribute f_40 numeric
@attribute f_41 numeric
@attribute f_42 numeric
@attribute f_43 numeric
@attribute f_44 numeric
@attribute f_45 numeric
@attribute f_46 numeric
@attribute f_47 numeric
@attribute f_48 numeric
@attribute f_49 numeric
@attribute f_50 numeric
@attribute f_51 numeric
@attribute f_52 numeric
@attribute f_53 numeric
@attribute f_54 numeric
@attribute f_55 numeric
@attribute f_56 numeric
@attribute f_57 numeric
@attribute f_58 numeric
@attribute f_59 numeric
@attribute f_60 numeric
@attribute f_61 numeric
@attribute f_62 numeric
@attribute label {A,B,C}
@data
416.0,149.0,76.0,27.0,13.0,11.0,7.0,4.0,5.0,4.0,5.0,5.0,4.0,3.0,3.0,2.0,3.0,4.0,4.0,2.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,4.0,4.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,5.0,A
531.0,252.0,86.0,27.0,21.0,12.0,6.0,6.0,3.0,3.0,4.0,5.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,4.0,4.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,4.0,3.0,3.0,2.0,2.0,2.0,3.0,5.0,5.0,4.0,4.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,4.0,5.0,4.0,4.0,6.0,A
737.0,345.0,104.0,41.0,13.0,13.0,14.0,8.0,6.0,5.0,4.0,5.0,4.0,4.0,3.0,6.0,4.0,3.0,3.0,4.0,2.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,2.0,2.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,6.0,4.0,4.0,5.0,A
715.0,303.0,105.0,40.0,17.0,9.0,12.0,5.0,4.0,5.0,3.0,5.0,5.0,3.0,5.0,6.0,4.0,3.0,3.0,3.0,1.0,2.0,4.0,3.0,3.0,3.0,2.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,4.0,2.0,3.0,4.0,A
782.0,318.0,114.0,49.0,27.0,17.0,14.0,6.0,6.0,6.0,5.0,5.0,5.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,5.0,3.0,3.0,4.0,3.0,2.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,6.0,8.0,5.0,3.0,6.0,A
879.0,424.0,136.0,62.0,27.0,20.0,19.0,8.0,7.0,7.0,6.0,6.0,5.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,2.0,2.0,4.0,5.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,2.0,2.0,2.0,2.0,4.0,4.0,3.0,4.0,2.0,2.0,3.0,4.0,3.0,3.0,3.0,3.0,2.0,4.0,3.0,2.0,3.0,3.0,2.0,2.0,3.0,4.0,5.0,6.0,3.0,4.0,7.0,A
879.0,424.0,129.0,62.0,25.0,13.0,11.0,8.0,6.0,5.0,5.0,4.0,5.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,3.0,2.0,4.0,4.0,2.0,4.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,4.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,5.0,4.0,3.0,4.0,6.0,A
53.0,36.0,13.0,10.0,7.0,8.0,6.0,6.0,5.0,3.0,3.0,2.0,2.0,4.0,3.0,3.0,3.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,A
733.0,330.0,151.0,80.0,30.0,24.0,14.0,9.0,9.0,9.0,9.0,6.0,3.0,5.0,5.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,5.0,5.0,4.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,4.0,3.0,4.0,4.0,2.0,2.0,2.0,3.0,5.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,5.0,9.0,A
903.0,387.0,157.0,41.0,26.0,16.0,9.0,6.0,5.0,8.0,6.0,5.0,3.0,4.0,4.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,4.0,4.0,2.0,3.0,4.0,3.0,3.0,2.0,3.0,4.0,2.0,4.0,4.0,3.0,4.0,3.0,4.0,3.0,3.0,2.0,3.0,5.0,4.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,3.0,7.0,11.0,A
886.0,369.0,157.0,45.0,21.0,10.0,9.0,7.0,6.0,6.0,5.0,5.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0,5.0,4.0,4.0,4.0,3.0,5.0,3.0,3.0,4.0,4.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,4.0,4.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,4.0,6.0,10.0,A
